实体id,实体名称,预警指数,此次预警时间,最早预警时间,预警理由,集资模式,风险评级,业态类型,所属行业,问题平台,省份,城市,实体类别,实体来源,收益率,收益率大小所属分位点,担保承诺,煽动性广告数量,煽动性广告数所属分位点,负面舆情数量,负面舆情数所属分位点,诉讼记录数量,诉讼记录数所属分位点,经营异常数量,经营异常数所属分位点,赞成数,反对数
3194,玖富叮当,99.5,2018-04-15,2018-01-30,"负面舆情多；
收益率过高；
经营异常多；
",,不详,网络借贷,,无,广东,珠海,工司,数据库,36%,95%,3,7,65%,16,80%,0,不详,1,85%,0,3
2213,小猪理财,99.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
存在担保承诺；",直接借贷,小,网络借贷,金融业或类金融业,无,江西,南昌,平台,网贷之家,30%,90%,1,24,80%,4,55%,0,不详,0,不详,2,2
28552,德丰利达（北京）控股有限公司,99.0,2018-04-15,2018-03-11,"煽动性广告多；
存在担保承诺；",,大,,,无,北京,朝阳,工司,人工导入,80%,不详,1,7,80%,8,70%,0,不详,0,不详,1,0
1730,齐鲁人贷,98.6429,2018-04-15,2018-01-10,"负面舆情多；
诉讼记录多；
收益率过高；
经营异常多；
",,不详,网络借贷,,提现困难,山东,青岛,平台,网贷之家,24%,90%,3,0,60%,22,85%,1,80%,1,85%,0,0
672,合泽财富,98.5,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,提现困难,广东,广州,平台,网贷之家,32%,90%,3,0,不详,0,不详,0,不详,0,不详,0,0
261,爱钱进,98.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
收益率过高；
",,不详,网络借贷,,无,广东,深圳,平台,网贷之家,70%,95%,3,287,95%,89,95%,0,不详,0,不详,2,0
267,投哪网,98.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
煽动性广告多；
收益率过高；
经营异常多；
",无,不详,网络借贷,无,无,广东,深圳,平台,网贷之家,114%,95%,3,208,95%,15,80%,41,95%,1,85%,0,1
284,易通贷,98.0,2018-04-15,2018-01-30,"煽动性广告多；
经营异常多；
",,不详,网络借贷,,,北京,北京,平台,网贷之家,32%,40%,3,65,85%,4,55%,0,不详,1,85%,0,0
620,恒大金服,98.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
经营异常多；
",,不详,网络借贷,,,广东,深圳,平台,网贷之家,81%,95%,3,133,90%,6,65%,0,不详,1,85%,0,0
629,鲤鱼理财,98.0,2018-04-15,2018-01-10,"收益率过高；
",无,大,网络借贷,,无,上海,上海,平台,网贷之家,1300%,95%,3,2,30%,2,30%,0,不详,0,不详,2,0
905,宝象金融,98.0,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,平台,网贷之家,40%,95%,3,421,95%,38,90%,0,不详,0,不详,1,0
995,贸金所,98.0,2018-04-15,2018-01-10,暂无,,不详,网络借贷,,,上海,,平台,网贷之家,219%,不详,3,6,65%,1,不详,0,不详,0,不详,0,0
1125,雅堂金融,98.0,2018-04-15,2018-01-10,"负面舆情多；
煽动性广告多；
收益率过高；
",无,大,网络借贷,无,停业,广东,深圳,平台,网贷之家,60%,95%,3,9,85%,216,95%,0,不详,0,不详,1,0
2641,萨飞资本,98.0,2018-04-15,2018-01-10,"煽动性广告多；
收益率过高；
",无,小,,无,无,上海,上海,平台,网贷之家,50%,95%,3,158,90%,2,30%,0,不详,0,不详,1,0
3732,金蛐蛐,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
",无,小,网络借贷,无,无,上海,上海,工司,数据库,50%,95%,3,155,85%,0,不详,0,不详,0,不详,1,0
5500,叮叮理财,98.0,2018-04-15,2018-01-30,"收益率过高；
经营异常多；
",无,不详,网络借贷,无,无,浙江,杭州,工司,数据库,50%,95%,3,0,不详,0,不详,0,不详,1,85%,0,1
25034,私募排排网,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
",无,不详,互联网证券,,无,广东,深圳,工司,数据库,40%,90%,3,35,90%,1,不详,0,不详,0,不详,0,2
25420,叮当贷,98.0,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
收益率过高；
",无,不详,网络借贷,无,无,北京,朝阳,工司,数据库,47%,95%,3,7,70%,19,85%,18,90%,0,不详,0,1
26495,多彩投,98.0,2018-04-15,2018-01-30,"煽动性广告多；
收益率过高；
",众筹平台,不详,网络众筹,金融业或类金融业,无,北京,朝阳,工司,数据库,1095%,95%,3,24,85%,2,30%,0,不详,0,不详,1,2
534,冰融贷,97.9286,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,黑龙江,哈尔滨,平台,网贷之家,25%,90%,3,0,30%,0,不详,0,不详,0,不详,0,0
2111,柘家贷,97.6429,2018-04-15,2018-01-10,"收益率过高；
",,不详,网络借贷,,,重庆,重庆,平台,网贷之家,24%,90%,3,0,50%,0,不详,0,不详,0,不详,0,0
4223,富宝,97.5,2018-04-15,2018-01-30,"负面舆情多；
煽动性广告多；
",,不详,第三方支付,,无,江西,鹰潭,工司,数据库,不详,不详,3,235,95%,171,95%,0,不详,0,不详,0,1
17596,吉林国际商品交易中心,97.5,2018-04-15,2018-01-30,"负面舆情多；
诉讼记录多；
",,大,交易所,,"警方介入,平台诈骗",山东,白山,工司,数据库,不详,不详,3,2,20%,76,95%,4,90%,0,不详,2,0
28629,善林（上海）商务咨询有限公司,97.5,2018-04-15,2018-03-11,"负面舆情多；
诉讼记录多；
煽动性广告多；
",,不详,,,,上海,上海,工司,人工导入,不详,5%,3,296,95%,412,95%,5,90%,0,不详,0,0
